Words
"['responsible', 'accountable', 'accountable', 'for', 'amenable', 'answerable', 'at', 'fault', 'at', 'the', 'helm', 'of', 'behind', 'charged', 'with', 'culpable', 'guilty', 'in', 'charge', 'of', 'in', 'control', 'of', 'liable', 'obligated', 'oversee', 'prudent', 'responsibility', 'responsibleness', 'to', 'blame', 'trustworthy', 'trusty']"
"['team', 'a-team', 'baseball', 'team', 'basketball', 'team', 'battery', 'bench', 'crew', 'defence', 'defending', 'team', 'defense', 'dream', 'team', 'eleven', 'first', 'team', 'five', 'flying', 'squad', 'football', 'team', 'hit', 'squad', 'junior', 'varsity', 'jv', 'little-league', 'team', 'major-league', 'club', 'major-league', 'team', 'minor-league', 'club', 'minor-league', 'team', 'offence', 'offense', 'police', 'squad', 'powerhouse', 'second', 'string', 'section', 'side', 'social', 'unit', 'squad', 'stringer', 'troupe', 'unit', 'varsity']"
"['planning', 'arrangement', 'birth', 'control', 'birth', 'prevention', 'family', 'planning', 'forethought', 'groundwork', 'organization', 'preparation', 'preparation(s)', 'programing', 'programming', 'provision', 'readying', 'setting', 'up', 'working', 'out']"
"['collaboration', 'affiliation', 'alliance', 'association', 'coaction', 'collaborationism', 'concert', 'connection', 'cooperation', 'dealings', 'integration', 'interaction', 'liaison', 'merger', 'partnership', 'quislingism', 'relation', 'relationship', 'solidarity', 'teamwork', 'union']"
"['evaluation', 'appraisal', 'appraisement', 'assessment', 'belief', 'calculation', 'estimate', 'estimation', 'grading', 'impression', 'judgement', 'judgment', 'marking', 'perception', 'rating', 'scoring', 'valuation', 'view']"
"['design', 'contrive', 'delineate', 'describe', 'designate', 'destine', 'devise', 'draft', 'draw', 'formulate', 'invent', 'outline', 'plan', 'sketch', 'specify', 'think', 'out', 'trace']"
"['analysis', 'analytic', 'thinking', 'anatomizing', 'anatomy', 'assay', 'assessment', 'breakdown', 'case', 'study', 'chemical', 'analysis', 'classification', 'cost', 'analysis', 'deconstruction', 'depth', 'psychology', 'diagnosis', 'dissection', 'estimation', 'evaluation', 'examination', 'fundamental', 'analysis', 'fundamentals', 'analysis', 'inspection', 'interpretation', 'inventory', 'investigation', 'judgment', 'opinion', 'psychoanalysis', 'qualitative', 'analysis', 'reasoning', 'study', 'technical', 'analysis', 'technical', 'analysis', 'of', 'stock', 'trends']"
"['leadership', 'activity', 'administration', 'chiefs', 'commanders', 'control', 'controllers', 'direction', 'directors', 'generalship', 'governance', 'government', 'governors', 'helm', 'lead', 'leaders', 'leading', 'management', 'overseers', 'policing', 'rulers', 'running', 'steering', 'stewardship', 'superintendents', 'supervisors', 'trend', 'setting']"
"['goals', 'aim', 'aims', 'ambition', 'ambitions', 'aspirations', 'designs', 'destination', 'dreams', 'end', 'finish', 'goal', 'holy', 'grail', 'ideals', 'ideas', 'intention', 'intentions', 'intents', 'meanings', 'object', 'objective', 'objectives', 'objects', 'plans', 'points', 'pretensions', 'purpose', 'purposes', 'target', 'targets', 'things']"
"['discipline', 'check', 'condition', 'groom', 'make', 'grow', 'mortify', 'prepare', 'train']"
