Example
Adobe Systems Adobe Acrobat
AdSense Tracker
Atlassian JIRA
Blackbaud The Raiser's Edge
ComputerEase Construction Accounting
Database reporting software
Databox
Email software
Enterprise resource planning ERP software
Exact Software Macola ES Labor Performance
Extensible markup language XML
Fund accounting software
Graphic presentation software
Halogen e360
Halogen ePraisal
HCSS HeavyBid
HCSS HeavyJob
Human resource information system HRIS
Infor SSA Human Capital Management
Intuit QuickBooks
Listserv software
Lyris HQ Web-Analytics Solution
Microsoft Access
Microsoft Dynamics AX
Microsoft Dynamics GP
Microsoft Excel
Microsoft FRx
Microsoft Office
Microsoft Outlook
Microsoft PowerPoint
Microsoft Project
Microsoft Publisher
Microsoft SharePoint
Microsoft Word
Nedstat Sitestat
Norchard Solutions Succession Wizard
Online advertising reporting software
Oracle E-Business Suite
Oracle PeopleSoft
Oracle Siebel Server Sync
PHP: Hypertext Preprocessor
Relational database management software
Sage 50 Accounting
SAP
Structured query language SQL
Web browser software
Scheduling software
Teleconferencing software
ActionWare
Adobe Systems Adobe Photoshop
ADP Workforce Now
AMG Teleran SalesInSync
Apache Hadoop
Apple Final Cut Pro
Apple macOS
Autodesk AutoCAD
Avidian Technologies Prophet
Blackboard
CA Erwin Data Modeler
Calendar and scheduling software
Citrix
CNC Mastercam
Computer aided manufacturing CAM software
Confluence
Customer information control system CICS
Data entry software
Datawatch Monarch
Deacom ERP
Delphi Technology
Dynamic Energy Systems MedAct
Facebook
FileMaker Pro
Geographic information system GIS software
Google AdWords
Google Analytics
Google Docs
Google Drive
HEAT Software GoldMine
Human resource management software HRMS
Human resources software
IBM Cognos Impromptu
IBM Domino
IBM InfoSphere DataStage
IBM Notes
IBM Power Systems software
IBM SPSS Statistics
InnQuest Software roomMaster
Inventory management software
Job control language JCL
Kronos Workforce Payroll
Kronos Workforce Timekeeper
LexisNexis
LinkedIn
LSA Visual Easy Lean
Marketo Marketing Automation
Maximizer Software Maximizer Enterprise
McAfee
Microsoft Dynamics
Microsoft Exchange Server
Microsoft FrontPage
Microsoft Internet Explorer
Microsoft SQL Server
Microsoft Visio
Microsoft Visual Basic
Microsoft Windows
MicroStrategy
Minitab
Mozilla Firefox
Mozilla Thunderbird
Nagios
NetSuite ERP
NetSuite NetCRM
Oracle Business Intelligence Enterprise Edition
Oracle E-Business Suite Financials
Oracle Eloqua
Oracle Fusion Applications
Oracle Hyperion
Oracle JD Edwards EnterpriseOne
Oracle PeopleSoft Financials
Oracle Primavera Enterprise Project Portfolio Management
Oracle Solaris
Oracle Taleo
Payroll software
Personnel scheduling software
Point of sale POS software
PostgreSQL
Puppet
Qlik Tech QlikView
R
Realization Streamliner
Sage ACT!
Sage MAS 500
Salesforce software
Salesforce.com Salesforce CRM
SAP Business Objects
SAP Crystal Reports
SAS
Savant MobileRanger
SeaMonkey
Shell script
Siemens NX for Manufacturing
Software on Sailboats Desktop Sales Manager
Splunk Enterprise
StataCorp Stata
Sugar CRM
Supervisory control and data acquisition SCADA software
Symantec
Tableau
Tax software
Teradata Database
The MathWorks MATLAB
Vanguard Software Vanguard Sales Manager
Veritas NetBackup
vtiger CRM
Yardi
YouTube
Adobe Systems Adobe FrameMaker
Antenna House
Apple iWork Keynote
Apple Numbers for Mac
Apple Pages for Mac
Cisco AnyConnect
Cisco Systems WebEx
Citrix GoToMeeting
Corel WordPerfect Office Suite
GoodReader
iAnnotate
Legislative Automative Workflow System LAWS
Mapping software
Meeting scheduling software
